household_ID,member_ID,age,relationship_to_the_head_of_household,gender,ethnicity,religion,marital_status,current_attendance_in_any_education_instituition,highest_level_of_education,main_activity_engaged_in,main_occupation,daily_wage_owner_or_not,employment_status_of_the_main_occupation,no_of_hours_stayed_at_home_during_last_week,member_went_out_for_work_or_not_during_last_week
ID0006,I2,42,Wife/Husband,Female,Sri Lankan Tamil,Hinduism,Currently married (customary),Does not attend,Passed Grade 5,Household activities,,,,168.0,
ID0006,I3,22,Son/daughter,Female,Sri Lankan Tamil,Hinduism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Private sector employee,0.0,"Yes, went daily during working days"
ID0006,I4,17,Son/daughter,Female,Sri Lankan Tamil,Hinduism,Never married,School,Passed G.C.E.(O/L),Student,,,,144.0,
ID0006,I5,16,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 10,Student,,,,90.5,
ID0006,I6,13,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 8,Student,,,,109.0,
ID0007,I1,38,Head of the household,Male,Sri Lankan Tamil,Hinduism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,Yes,Own account worker,116.0,"Yes, went daily during working days"
ID0007,I2,30,Wife/Husband,Female,Sri Lankan Tamil,Hinduism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Semi government employee,60.0,"Yes, went on most of the days"
ID0007,I3,12,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 7,Student,,,,143.0,
ID0007,I4,6,Son/daughter,Male,Sri Lankan Tamil,Hinduism,Never married,School,Passed Grade 1,,,,,135.0,
ID0008,I1,55,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,118.0,"Yes, went daily during working days"
ID0008,I2,60,Wife/Husband,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,118.0,
ID0008,I3,25,Son/daughter,Female,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,48.0,
ID0008,I4,21,Son/daughter,Female,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,48.0,
ID0008,I5,19,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,118.0,
ID0009,I1,24,Head of the household,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,70.0,"Yes, went daily during working days"
ID0009,I2,63,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Household activities,,,,72.0,
ID0010,I1,74,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,Yes,Own account worker,84.0,"Yes, went daily during working days"
ID0010,I2,50,Son-in-law/Daughter in law,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Service worker and shop and market sales worker,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0010,I3,49,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,72.0,
ID0010,I4,47,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 5,Household activities,,,,150.0,
ID0010,I5,42,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,No Schooling,Too old / Disable/ unable to work,,,,168.0,
ID0010,I6,13,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 7,Student,,,,100.0,
ID0010,I7,10,Grandson/ Granddaughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 4,,,,,100.0,
ID0011,I1,45,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Government employee,16.0,"Yes, went daily during working days"
ID0011,I2,35,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 12,Seeking for and available to work,No occupation,,Contributing family worker,21.0,"No, worked from home"
ID0011,I3,15,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,16.0,
ID0011,I4,9,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 2,,,,,16.0,
ID0011,I5,5,Son/daughter,Male,Sinhala,Buddhism,Never married,School,No Schooling,,,,,16.0,
ID0012,I1,45,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Professional,No,Private sector employee,84.0,"Yes, went daily during working days"
ID0012,I2,81,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0012,I3,80,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0012,I4,43,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Household activities,,,,168.0,
ID0012,I5,17,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,84.0,
ID0012,I6,16,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 10,Student,,,,84.0,
ID0012,I7,8,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,84.0,
ID0013,I1,75,Head of the household,Male,Sinhala,Buddhism,Widowed,Does not attend,Passed Degree / Diploma,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,168.0,
ID0014,I1,55,Head of the household,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,80.0,"Yes, went daily during working days"
ID0014,I2,57,Wife/Husband,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,118.0,"Yes, went daily during working days"
ID0014,I3,19,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,150.0,
ID0014,I4,16,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed G.C.E.(O/L),Student,,,,150.0,
ID0015,I1,65,Head of the household,Male,Sinhala,Buddhism,Currently married (customary),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,83.0,"Yes, went daily during working days"
ID0015,I2,50,Wife/Husband,Female,Sinhala,Roman Catholicism,Currently married (customary),Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,Yes,Government employee,96.0,"Yes, went daily during working days"
ID0015,I3,18,Grandson/ Granddaughter,Male,Sinhala,Buddhism,Never married,Vocational/Technical Institution,Passed G.C.E.(O/L),Student,,,,113.0,
ID0016,I1,70,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Received other pension payments,,,,168.0,
ID0016,I2,62,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired from the private/semi-government sector and does not obtain any pension payment,,,,168.0,
ID0016,I3,33,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,No,Semi government employee,80.0,"Yes, went daily during working days"
ID0016,I4,31,Son-in-law/Daughter in law,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Clerk,No,Government employee,90.0,"Yes, went daily during working days"
ID0016,I5,29,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Seeking for and available to work,No occupation,,Contributing family worker,168.0,"No, worked from home"
ID0017,I1,28,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,120.0,
ID0017,I2,70,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Too old / Disable/ unable to work,,,,168.0,
ID0017,I3,32,Other,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Household activities,,,,168.0,
ID0017,I4,15,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 10,Student,,,,72.0,
ID0018,I1,54,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed post Graduate Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),"Legislator, senior official, and manager",No,Private sector employee,60.0,"Yes, went on most of the days"
ID0018,I2,52,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),"Legislator, senior official, and manager",No,Semi government employee,60.0,"Yes, went daily during working days"
ID0018,I3,86,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(O/L),Too old / Disable/ unable to work,,,,168.0,
ID0018,I4,23,Son/daughter,Male,Sinhala,Buddhism,Never married,University,Passed G.C.E.(A/L) or equivalent,Student,,,,60.0,
ID0018,I5,20,Son/daughter,Male,Sinhala,Buddhism,Never married,Other educational institution,Passed G.C.E.(A/L) or equivalent,Student,,,,122.0,
ID0018,I6,60,Domestic servant/driver/watcher,Female,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 10,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),No occupation,No,Private sector employee,168.0,"No, worked from home"
ID0018,I7,62,Domestic servant/driver/watcher,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed Grade 10,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),No occupation,No,Private sector employee,168.0,"No, worked from home"
ID0019,I1,40,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,0.0,"No, worked from home"
ID0019,I2,37,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,168.0,"Yes, went daily during working days"
ID0019,I3,9,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 4,,,,,113.0,
ID0019,I4,4,Son/daughter,Female,Sinhala,Buddhism,Never married,Preschool,,,,,,113.0,
ID0019,I5,2,Son/daughter,Female,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID0020,I1,22,Head of the household,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Private sector employee,80.0,"Yes, went daily during working days"
ID0020,I2,63,Parents of the head of the Household/ spouse,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Too old / Disable/ unable to work,,,,168.0,
ID0020,I3,61,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Too old / Disable/ unable to work,,,,168.0,
ID0021,I1,38,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,168.0,"Yes, went daily during working days"
ID0021,I2,31,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Private sector employee,160.0,"Yes, went daily during working days"
ID0021,I3,9,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,124.0,
ID0021,I4,3,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,,,,,,168.0,
ID0022,I1,46,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,108.0,"Yes, went daily during working days"
ID0022,I2,38,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Degree / Diploma,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Government employee,123.0,"Yes, went daily during working days"
ID0022,I3,9,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 3,,,,,123.0,
ID0022,I4,5,Son/daughter,Female,Sinhala,Buddhism,Never married,School,No Schooling,,,,,148.0,
ID0023,I1,69,Head of the household,Female,Sinhala,Buddhism,Widowed,Does not attend,Passed G.C.E.(A/L) or equivalent,Too old / Disable/ unable to work,,,,160.0,
ID0023,I2,60,Other relative,Male,Sinhala,Buddhism,Never married,Does not attend,Passed Grade 12,Engaged in economic activity/ currently employed/ engaged in own business,No occupation,Yes,Private sector employee,140.0,"Yes, went daily during working days"
ID0024,I1,62,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,No,Employer,164.0,"No, worked from home"
ID0024,I2,62,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired and obtaining government/semi-government pension payment and is currently engaged in economic activity (employed elsewhere other than the place where he/she is receiving the pension from / engaged in own business),Professional,No,Semi government employee,164.0,"No, worked from home"
ID0025,I1,60,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Employer,105.0,"Yes, went daily during working days"
ID0025,I2,60,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Employer,135.0,"Yes, went daily during working days"
ID0025,I3,31,Son/daughter,Female,Sinhala,Buddhism,Currently married (registered),University,Special Education learning / learnt,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0026,I1,60,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Retired - Obtaining government/semi-government pension payment and currently not engaged in economic activity (not employed elsewhere or not engaged in any own business),,,,155.0,
ID0026,I2,58,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,160.0,
ID0026,I3,29,Son/daughter,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,48.0,"Yes, went daily during working days"
ID0026,I4,28,Son-in-law/Daughter in law,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,48.0,"Yes, went daily during working days"
ID0026,I5,27,Son/daughter,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Professional,No,Private sector employee,24.0,"Yes, went daily during working days"
ID0027,I1,46,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Craft and related worker,No,Private sector employee,35.0,"Yes, went daily during working days"
ID0027,I2,50,Other relative,Female,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Engaged in economic activity/ currently employed/ engaged in own business,Clerk,No,Own account worker,150.0,"Yes, went on most of the days"
ID0027,I3,83,Parents of the head of the Household/ spouse,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Received other pension payments,,,,142.0,
ID0027,I4,40,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,142.0,
ID0027,I5,15,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 9,Student,,,,50.0,
ID0027,I6,3,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,,,,,,168.0,
ID0028,I1,34,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Skilled agricultural and fishery worker,No,Private sector employee,48.0,"Yes, went on most of the days"
ID0028,I2,30,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0028,I3,4,Son/daughter,Female,Sinhala,Buddhism,Never married,Preschool,,,,,,148.0,
ID0028,I4,2,Son/daughter,Female,Sinhala,Buddhism,Never married,,,,,,,168.0,
ID0029,I1,55,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,168.0,"No, worked from home"
ID0029,I2,50,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(A/L) or equivalent,Household activities,,,,168.0,
ID0029,I3,19,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,150.0,
ID0030,I1,50,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,168.0,"Yes, went on most of the days"
ID0030,I2,51,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed GAQ (General Arts Qualifying (External) Examination)/GSQ (General Science Qualifying examination),Household activities,,,,168.0,
ID0030,I3,13,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 7,Student,,,,143.0,
ID0030,I4,10,Son/daughter,Female,Sinhala,Buddhism,Never married,School,Passed Grade 4,,,,,143.0,
ID0031,I1,65,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 7,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,168.0,"Yes, went on most of the days"
ID0031,I2,67,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Private sector employee,168.0,"Yes, went on most of the days"
ID0031,I3,19,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 12,Student,,,,168.0,
ID0032,I1,59,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed G.C.E.(O/L),Engaged in economic activity/ currently employed/ engaged in own business,Professional,Yes,Own account worker,160.0,"Yes, went on most of the days"
ID0032,I2,58,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 8,Household activities,,,,168.0,
ID0032,I3,29,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(A/L) or equivalent,Retired from the private/semi-government sector and does not obtain any pension payment,,,,160.0,
ID0032,I4,27,Son/daughter,Male,Sinhala,Buddhism,Never married,Does not attend,Passed G.C.E.(O/L),Seeking for and available to work,Technician and associate professional,,Private sector employee,168.0,"Yes, went on most of the days"
ID0033,I1,50,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 9,Engaged in economic activity/ currently employed/ engaged in own business,Technician and associate professional,No,Private sector employee,0.0,"Yes, went daily during working days"
ID0033,I2,55,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 9,Household activities,,,,168.0,
ID0033,I3,20,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,Passed G.C.E.(O/L),Seeking for and available to work,No occupation,,Contributing family worker,168.0,"No, worked from home"
ID0033,I4,15,Son/daughter,Female,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 10,Student,,,,110.0,
ID0034,I1,58,Head of the household,Male,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 8,Engaged in economic activity/ currently employed/ engaged in own business,Service worker and shop and market sales worker,Yes,Own account worker,28.0,"No, worked from home"
ID0034,I2,89,Parents of the head of the Household/ spouse,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 5,Too old / Disable/ unable to work,,,,168.0,
ID0034,I3,56,Wife/Husband,Female,Sri Lankan Moor/Muslim,Islam,Currently married (registered),Does not attend,Passed Grade 12,Household activities,,,,168.0,
ID0034,I4,23,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Vocational/Technical Institution,Passed Grade 12,Student,,,,154.0,
ID0034,I5,21,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed Grade 12,Student,,,,154.0,
ID0034,I6,17,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,School,Passed G.C.E.(O/L),Student,,,,154.0,
ID0034,I7,14,Son/daughter,Male,Sri Lankan Moor/Muslim,Islam,Never married,Other educational institution,Passed Grade 8,Student,,,,154.0,
ID0034,I8,48,Other relative,Male,Sri Lankan Moor/Muslim,Islam,Never married,Does not attend,No Schooling,Household activities,,,,168.0,
ID0035,I1,39,Head of the household,Male,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Engaged in economic activity/ currently employed/ engaged in own business,Elementary occupation,No,Government employee,108.0,"Yes, went daily during working days"
ID0035,I2,37,Wife/Husband,Female,Sinhala,Buddhism,Currently married (registered),Does not attend,Passed Grade 10,Household activities,,,,168.0,
ID0035,I3,13,Son/daughter,Male,Sinhala,Buddhism,Never married,School,Passed Grade 7,Student,,,,0.0,
