household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0027,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,726.0,6,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Pressed soil blocks,Tile,No,Diploma with O/L or A/L (Non graduate),Skilled Worker,SEC C,100000.0,Non smart meter
ID0028,1,AMBALANGODA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,350.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID0029,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1300.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,120000.0,Non smart meter
ID0030,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,250.0,4,,,No,,I am not aware of that.,Don't know,Mud,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,15000.0,Non smart meter
ID0031,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,560.0,3,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,,Non smart meter
ID0032,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,600.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Brick,Tile,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,75000.0,Non smart meter
ID0033,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,600.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Concrete,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,40000.0,Non smart meter
ID0034,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1250.0,8,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,60000.0,Non smart meter
ID0035,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,414.0,6,,,Yes,Other,The house is designed by a certified architect.,No,Brick,Asbestos,Yes,O/L or A/L pending / Passed,Skilled Worker,SEC C,25000.0,Smart meter
ID0036,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,6.0,1.0,440.0,4,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,Schooling up to Grade 6 - 9,Unskilled Worker,SEC E,60000.0,Non smart meter
ID0037,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,350.0,1,,,No,,I am not aware of that.,Don't know,Cabook,Tile,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,30000.0,Non smart meter
ID0038,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,,3,,,No,,The house is designed by a certified architect.,Don't know,Other,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,25000.0,Non smart meter
ID0039,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,750.0,3,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Clerk / Salesman grades,SEC B,100000.0,Non smart meter
ID0040,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,300.0,4,,,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Unskilled Worker,SEC D,50000.0,Non smart meter
ID0041,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1350.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,150000.0,Smart meter
ID0042,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,9.0,1.0,440.0,2,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,Primary Education,Unskilled Worker,SEC E,12000.0,Non smart meter
ID0043,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,800.0,3,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,45000.0,Smart meter
ID0044,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,180.0,1,,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",No,Cabook,Takaran,No,Primary Education,Agricultural labourer / Worker,SEC E,12000.0,Non smart meter
ID0045,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Flat,5.0,1.0,450.0,3,,,No,,This is a house provided by the government.,Yes,Cement Block,Concrete,No,Illiterate,Unskilled Worker,SEC E,25000.0,Non smart meter
ID0046,1,GALLE,"No, I am living on rent and the rent is paid by me or a household member.",,,2010-2019,Single House - More than 2 floors,,3.0,2000.0,4,,You pay the full amount of the electricity bill.,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Smart meter
ID0047,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,2400.0,3,,,No,,This is a house provided by the government.,Don't know,Brick,Tile,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,50000.0,Smart meter
ID0048,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,5,,,No,,I am not aware of that.,No,Cabook,Tile,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,30000.0,Non smart meter
ID0049,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,350.0,8,,,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,65000.0,Non smart meter
ID0050,3,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Attached house / Annex,,1.0,3200.0,6,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Boutique owner,SEC A,120000.0,Non smart meter
ID0051,1,GALLE,"No, I am living on rent and the rent is paid by me or a household member.",,,In 2020 or After 2020,Single House - Single Floor,,,2400.0,1,,You don't pay the owner for electricity consumption.,No,,The house is designed by a certified architect.,Yes,Cement Block,Tile,No,Graduate / Post-Grads / Degree level professional qualification,Clerk / Salesman grades,SEC B,50000.0,Non smart meter
ID0052,2,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1100.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Schooling up to Grade 6 - 9,1-9 Employed,SEC B,100000.0,Smart meter
ID0053,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Attached house / Annex,,0.0,140.0,5,,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,45000.0,Smart meter
ID0054,1,MAHARAGAMA,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",2000-2009,Single House - Double Floor,,,2600.0,5,You don't charge them for electricity consumption.,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,60000.0,Non smart meter
ID0055,1,BORALASGAMUWA,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,2000-2009,Single House - Single Floor,,,400.0,3,,You pay the full amount of the electricity bill.,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Concrete,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,40000.0,Smart meter
ID0056,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1000.0,1,,,No,,I am not aware of that.,Yes,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,50000.0,Non smart meter
ID0057,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1600.0,5,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,50000.0,Non smart meter
ID0058,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,250.0,1,,,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,35000.0,Non smart meter
ID0059,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,2800.0,2,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,Yes,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,80000.0,Non smart meter
ID0060,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,720.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,50000.0,Smart meter
ID0061,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,450.0,3,,,No,,The house is designed by a certified architect.,No,Cement Block,Tile,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,30000.0,Non smart meter
ID0062,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,250.0,3,,,No,,This is a house provided by the government.,No,Cement Block,Asbestos,No,Primary Education,Unskilled Worker,SEC E,20000.0,Non smart meter
ID0063,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,1500.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,100000.0,Smart meter
ID0064,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,2000.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Brick,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,150000.0,Smart meter
ID0065,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,2,,,No,,The house is designed by a certified architect.,No,Brick,Tile,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,30000.0,Non smart meter
ID0066,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1500.0,5,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Other,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,47500.0,Smart meter
ID0067,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Double Floor,,,800.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,60000.0,Smart meter
ID0068,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,2800.0,7,,,Yes,Other,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,100000.0,Non smart meter
ID0069,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,400.0,4,,,No,,I am not aware of that.,Don't know,Cement Block,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,25000.0,Non smart meter
ID0070,1,AMBALANGODA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1500.0,8,,,No,,The house is designed by a certified architect.,No,Cement Block,Tile,No,O/L or A/L pending / Passed,Unskilled Worker,SEC D,45000.0,Non smart meter
ID0071,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,450.0,3,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,No,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Junior executive / Executive,SEC A,100000.0,Smart meter
ID0072,1,MAHARAGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,762.0,7,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,90000.0,Non smart meter
ID0073,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,3000.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Brick,Tile,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,30000.0,Non smart meter
ID0074,1,SEEDUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3200.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,85000.0,Non smart meter
ID0075,1,GALLE,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,2010-2019,Single House - Single Floor,,,2000.0,5,,You pay the full amount of the electricity bill.,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Yes,Wood / Takaran / Asbestos,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Self employed (Professional) - No employees,SEC A,35000.0,Non smart meter
ID0076,1,KOLONNAWA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,480.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,25000.0,Non smart meter
ID0077,1,KOLONNAWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1190.0,3,,,No,,I am not aware of that.,Yes,Cement Block,Concrete,Yes,O/L or A/L pending / Passed,Unskilled Worker,SEC D,60000.0,Non smart meter
ID0078,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,1000.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,40000.0,Non smart meter
ID0079,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,1800.0,6,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Graduate / Post-Grads / Degree level professional qualification,Middle and Senior executive,SEC A,200000.0,Smart meter
ID0080,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,1400.0,7,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Non smart meter
ID0081,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,1800.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Junior executive / Executive,SEC A,150000.0,Smart meter
ID0082,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Single Floor,,,300.0,5,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Concrete,No,Diploma with O/L or A/L (Non graduate),Junior executive / Executive,SEC B,150000.0,Smart meter
ID0083,1,BORALASGAMUWA,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",2010-2019,Single House - More than 2 floors,,3.0,3500.0,2,You don't charge them for electricity consumption.,,No,,The house is designed by a certified architect.,Yes,Brick,Concrete,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Middle and Senior executive,SEC A,150000.0,Smart meter
ID0084,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1200.0,8,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,100000.0,Smart meter
